2023-10-16/18:37:49		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:49		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:49		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:50		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:50		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:50		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:50		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:50		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:51		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:51		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:51		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:51		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:52		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:52		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:52		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:52		 wafer_13012020_090817.csv: File loaded successfully!!
2023-10-16/18:37:52		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:52		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:53		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:53		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:53		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:53		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:53		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:53		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:54		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:54		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:54		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:54		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:54		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:55		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:55		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:55		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:55		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:55		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:56		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:56		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:56		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:56		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:56		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:56		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:57		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:57		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:57		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:57		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:57		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:58		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:58		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:58		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:58		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:58		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:58		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:59		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:59		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:59		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:59		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:37:59		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:00		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:00		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:00		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:00		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:00		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:00		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:01		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:01		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:01		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:01		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:01		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:01		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:02		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:02		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:02		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:02		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:02		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:03		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:03		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:03		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:03		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:03		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:03		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:04		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:04		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:04		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:04		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:04		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:04		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:05		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:05		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:05		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:05		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:05		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:05		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:05		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:06		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:06		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:06		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:06		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:06		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:07		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:07		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:07		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:07		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:07		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:07		 wafer_16012020_051629.csv: File loaded successfully!!
